row_type,base_run_name,run_name,backend,model_name,seed,split_seed,num_runs,accuracy,accuracy_std,auc_0,auc_1,auc_2,auc_3,auc_4,auc_W,auc_W/Z/top,auc_W_std,auc_Z,auc_Z_std,auc_gluon,auc_gluon_std,auc_quark,auc_quark/gluon,auc_quark_std,auc_top,auc_top_std,cpu_latency_ms,cpu_latency_ms_std,gpu_latency_ms,gpu_latency_ms_std,macro_auc,macro_auc_std,model_size_bytes,model_size_bytes_std,parameter_count,parameter_count_std
run,binary_topqg_bitnet_sigmoid_f7_fixed,binary_topqg_bitnet_sigmoid_f7_fixed__seed42,pytorch,bitnet_mlp,42,42,,0.8983862351197976,,,,,,,,,,,,,,,0.9543741918530337,,0.9543741911723087,,0.48969000577926636,,,,0.9543741915126712,,23100,,4257,
run,binary_topqg_bitnet_sigmoid_f7_fixed,binary_topqg_bitnet_sigmoid_f7_fixed__seed43,pytorch,bitnet_mlp,43,42,,0.897025471479402,,,,,,,,,,,,,,,0.9535961094425904,,0.9535961080811406,,0.4802675358951092,,,,0.9535961087618655,,23100,,4257,
run,binary_topqg_bitnet_sigmoid_f7_fixed,binary_topqg_bitnet_sigmoid_f7_fixed__seed44,pytorch,bitnet_mlp,44,42,,0.8979628864316745,,,,,,,,,,,,,,,0.9541716430645016,,0.9541716423837766,,0.49074876587837934,,,,0.9541716427241391,,23100,,4257,
run,binary_topqg_bitnet_topo_sigmoid_f7_fixed,binary_topqg_bitnet_topo_sigmoid_f7_fixed__seed42,pytorch,bitnet_mlp,42,42,,0.898426554042476,,,,,,,,,,,,,,,0.9552324071573888,,0.9552324071573888,,0.3715202771127224,,,,0.9552324071573888,,30892,,6337,
run,binary_topqg_bitnet_topo_sigmoid_f7_fixed,binary_topqg_bitnet_topo_sigmoid_f7_fixed__seed43,pytorch,bitnet_mlp,43,42,,0.8951909604975355,,,,,,,,,,,,,,,0.9528945518571419,,0.9528945625218321,,0.363304833881557,,,,0.952894557189487,,30892,,6337,
run,binary_topqg_bitnet_topo_sigmoid_f7_fixed,binary_topqg_bitnet_topo_sigmoid_f7_fixed__seed44,pytorch,bitnet_mlp,44,42,,0.8980636837383705,,,,,,,,,,,,,,,0.9544133158363555,,0.9544133153825389,,0.379971694201231,,,,0.9544133156094472,,30892,,6337,
run,binary_topqg_hgq_mlp_64_32_32,binary_topqg_hgq_mlp_64_32_32__seed42,hgq,hgq_mlp,42,42,,0.9075890292211393,,,,,,,,,,,,,,,0.9621120429286111,,0.9621120429286112,,0.504701747559011,,,,0.9621120429286112,,147160,,8540,
run,binary_topqg_hgq_mlp_64_32_32,binary_topqg_hgq_mlp_64_32_32__seed43,hgq,hgq_mlp,43,42,,0.907871261679888,,,,,,,,,,,,,,,0.9621061911903996,,0.9621061911903998,,0.48407062888145447,,,,0.9621061911903996,,147160,,8540,
run,binary_topqg_hgq_mlp_64_32_32,binary_topqg_hgq_mlp_64_32_32__seed44,hgq,hgq_mlp,44,42,,0.9061476277353869,,,,,,,,,,,,,,,0.961527800112236,,0.9615278001122358,,0.4940394125878811,,,,0.9615278001122359,,147160,,8540,
run,binary_topqg_hgq_topo_128_32,binary_topqg_hgq_topo_128_32__seed42,hgq,hgq_mlp,42,42,,0.9076898265278351,,,,,,,,,,,,,,,0.9620113398894505,,0.9620113398894505,,0.49789329525083303,,,,0.9620113398894505,,190328,,12698,
run,binary_topqg_hgq_topo_128_32,binary_topqg_hgq_topo_128_32__seed43,hgq,hgq_mlp,43,42,,0.9068532088822586,,,,,,,,,,,,,,,0.9610403763456086,,0.9610403763456087,,0.4708849685266614,,,,0.9610403763456086,,190328,,12698,
run,binary_topqg_hgq_topo_128_32,binary_topqg_hgq_topo_128_32__seed44,hgq,hgq_mlp,44,42,,0.906792730498241,,,,,,,,,,,,,,,0.9617301308418895,,0.9617301308418893,,0.5047328397631645,,,,0.9617301308418894,,190328,,12698,
run,binary_topqg_mlp_baseline_64_32_32,binary_topqg_mlp_baseline_64_32_32__seed42,pytorch,mlp_baseline,42,42,,0.9100787226965296,,,,,,,,,,,,,,,0.9641564415787649,,0.9641564429402147,,0.041357893496751785,,,,0.9641564422594898,,22948,,4257,
run,binary_topqg_mlp_baseline_64_32_32,binary_topqg_mlp_baseline_64_32_32__seed43,pytorch,mlp_baseline,43,42,,0.9088993942081868,,,,,,,,,,,,,,,0.9633057550918842,,0.9633057550918843,,0.04016362130641937,,,,0.9633057550918842,,23012,,4257,
run,binary_topqg_mlp_baseline_64_32_32,binary_topqg_mlp_baseline_64_32_32__seed44,pytorch,mlp_baseline,44,42,,0.909967845659164,,,,,,,,,,,,,,,0.9640204692745241,,0.9640204699552491,,0.04083750303834677,,,,0.9640204696148866,,23012,,4257,
run,binary_topqg_mlp_topo_128_32,binary_topqg_mlp_topo_128_32__seed42,pytorch,mlp_topo,42,42,,0.9094940983176929,,,,,,,,,,,,,,,0.9640118324638087,,0.9640118351867084,,0.034161657094955444,,,,0.9640118338252586,,30634,,6337,
run,binary_topqg_mlp_topo_128_32,binary_topqg_mlp_topo_128_32__seed43,pytorch,mlp_topo,43,42,,0.9085264441734117,,,,,,,,,,,,,,,0.9632543217869721,,0.9632543229215138,,0.03310324624180794,,,,0.9632543223542429,,30634,,6337,
run,binary_topqg_mlp_topo_128_32,binary_topqg_mlp_topo_128_32__seed44,pytorch,mlp_topo,44,42,,0.9091816266669355,,,,,,,,,,,,,,,0.9636450821629472,,0.9636450828436722,,0.03482413478195667,,,,0.9636450825033097,,30634,,6337,
run,binary_topqg_qkeras_mlp_64_32_32_b7,binary_topqg_qkeras_mlp_64_32_32_b7__seed42,qkeras,qkeras_mlp,42,42,,0.909917447005816,,,,,,,,,,,,,,,0.9642240525380071,,0.964224052538007,,0.24459023494273424,,,,0.964224052538007,,83896,,4257,
run,binary_topqg_qkeras_mlp_64_32_32_b7,binary_topqg_qkeras_mlp_64_32_32_b7__seed43,qkeras,qkeras_mlp,43,42,,0.9109657389954541,,,,,,,,,,,,,,,0.964356478492389,,0.964356478492389,,0.25928409304469824,,,,0.964356478492389,,83896,,4257,
run,binary_topqg_qkeras_mlp_64_32_32_b7,binary_topqg_qkeras_mlp_64_32_32_b7__seed44,qkeras,qkeras_mlp,44,42,,0.9099073672751464,,,,,,,,,,,,,,,0.9639956938377068,,0.9639956938377067,,0.2689504064619541,,,,0.9639956938377068,,83896,,4257,
run,binary_topqg_qkeras_mlp_binary_64_32_32,binary_topqg_qkeras_mlp_binary_64_32_32__seed42,qkeras,qkeras_mlp,42,42,,0.8778235845538207,,,,,,,,,,,,,,,0.9359843018355878,,0.9359843018355877,,0.2511491859331727,,,,0.9359843018355878,,83896,,4257,
run,binary_topqg_qkeras_mlp_binary_64_32_32,binary_topqg_qkeras_mlp_binary_64_32_32__seed43,qkeras,qkeras_mlp,43,42,,0.8776119102097591,,,,,,,,,,,,,,,0.9368676386119217,,0.9368676386119217,,0.2539190510287881,,,,0.9368676386119217,,83896,,4257,
run,binary_topqg_qkeras_mlp_binary_64_32_32,binary_topqg_qkeras_mlp_binary_64_32_32__seed44,qkeras,qkeras_mlp,44,42,,0.8674313822334667,,,,,,,,,,,,,,,0.9335221148539231,,0.933522114853923,,0.25209037121385336,,,,0.933522114853923,,83896,,4257,
run,binary_topqg_qkeras_mlp_ternary_64_32_32,binary_topqg_qkeras_mlp_ternary_64_32_32__seed42,qkeras,qkeras_mlp,42,42,,0.8843149311050409,,,,,,,,,,,,,,,0.9406259537267949,,0.940625953726795,,0.25525466073304415,,,,0.9406259537267949,,83896,,4257,
run,binary_topqg_qkeras_mlp_ternary_64_32_32,binary_topqg_qkeras_mlp_ternary_64_32_32__seed43,qkeras,qkeras_mlp,43,42,,0.8844560473344152,,,,,,,,,,,,,,,0.9428247317095907,,0.9428247317095909,,0.2623150637373328,,,,0.9428247317095908,,83896,,4257,
run,binary_topqg_qkeras_mlp_ternary_64_32_32,binary_topqg_qkeras_mlp_ternary_64_32_32__seed44,qkeras,qkeras_mlp,44,42,,0.8868953421564576,,,,,,,,,,,,,,,0.9408153479603102,,0.9408153479603102,,0.2752560470253229,,,,0.9408153479603102,,83896,,4257,
run,binary_topqg_qkeras_topo_128_32_b7,binary_topqg_qkeras_topo_128_32_b7__seed42,qkeras,qkeras_mlp,42,42,,0.9104819119233134,,,,,,,,,,,,,,,0.9646856019509082,,0.9646856019509082,,0.25522840209305286,,,,0.9646856019509082,,104576,,6337,
run,binary_topqg_qkeras_topo_128_32_b7,binary_topqg_qkeras_topo_128_32_b7__seed43,qkeras,qkeras_mlp,43,42,,0.9107943835740709,,,,,,,,,,,,,,,0.964451142820897,,0.964451142820897,,0.24879819247871637,,,,0.964451142820897,,104576,,6337,
run,binary_topqg_qkeras_topo_128_32_b7,binary_topqg_qkeras_topo_128_32_b7__seed44,qkeras,qkeras_mlp,44,42,,0.9102399983872431,,,,,,,,,,,,,,,0.9643779251844099,,0.96437792518441,,0.24876869283616543,,,,0.96437792518441,,104576,,6337,
run,binary_topqg_qkeras_topo_binary_128_32,binary_topqg_qkeras_topo_binary_128_32__seed42,qkeras,qkeras_mlp,42,42,,0.8828735296192886,,,,,,,,,,,,,,,0.9411672965787875,,0.9411672965787876,,0.2416970068588853,,,,0.9411672965787876,,104576,,6337,
run,binary_topqg_qkeras_topo_binary_128_32,binary_topqg_qkeras_topo_binary_128_32__seed43,qkeras,qkeras_mlp,43,42,,0.8794262617302866,,,,,,,,,,,,,,,0.9423471353415418,,0.9423471353415416,,0.2442861581221223,,,,0.9423471353415417,,104576,,6337,
run,binary_topqg_qkeras_topo_binary_128_32,binary_topqg_qkeras_topo_binary_128_32__seed44,qkeras,qkeras_mlp,44,42,,0.8721990948401859,,,,,,,,,,,,,,,0.9377801376432842,,0.9377801376432842,,0.23153366055339575,,,,0.9377801376432842,,104576,,6337,
run,binary_topqg_qkeras_topo_ternary_128_32,binary_topqg_qkeras_topo_ternary_128_32__seed42,qkeras,qkeras_mlp,42,42,,0.8917840115312119,,,,,,,,,,,,,,,0.9477489963031184,,0.9477489963031183,,0.24765080772340298,,,,0.9477489963031183,,104576,,6337,
